Year,Team
1925,Gais
1926,Örgryte IS
1927,Gais
1928,Örgryte IS
1929,Hälsingborgs IF
1930,Hälsingborgs IF
1931,Gais
1932,AIK
1933,Hälsingborgs IF
1934,Hälsingborgs IF
1935,IFK Göteborg
1936,IF Elfsborg
1937,AIK
1938,IK Sleipner
1939,IF Elfsborg
1940,IF Elfsborg
1941,Hälsingborgs IF
1942,IFK Göteborg
1943,IFK Norrköping
1944,Malmö FF
1945,IFK Norrköping
1946,IFK Norrköping
1947,IFK Norrköping
1948,IFK Norrköping
1949,Malmö FF
1950,Malmö FF
1951,Malmö FF
1952,IFK Norrköping
1953,Malmö FF
1954,Gais
1955,Djurgårdens IF
1956,IFK Norrköping
1957,IFK Norrköping
1958,IFK Göteborg
1959,Djurgårdens IF
160,IFK Norrköping
1961,IF Elfsborg
1962,IFK Norrköping
1963,IFK Norrköping
1964, Djurgårdens IF
1965,Malmö FF
1966,Djurgårdens IF
1967,Malmö FF
1968,Östers IF
1968,IFK Göteborg
1970,Malmö FF
1971,Malmö FF
1972,Åtvidabergs FF
1973,Åtvidabergs FF
1974,Malmö FF
1975,Malmö FF
1976,Halmstads BK
1977,Malmö FF
1978,Östers IF
1979,Halmstads BK
1980,Östers IF
1981,Östers IF
1982,IFK Göteborg
1983,AIK (IFK Göteborg)
1984,IFK Göteborg
1985,Malmö FF (Örgryte IS)
1986,Malmö FF
1987,Malmö FF (IFK Göteborg)
1988,Malmö FF
1989,Malmö FF (IFK Norrköping)
1990,IFK Göteborg
1991,IFK Göteborg
1992,IFK Norrköping (AIK)
1993,IFK Göteborg
1994,IFK Göteborg
1995,IFK Göteborg
1996,IFK Göteborg
1997,Halmstads BK
1998,AIK
1999,Helsingborgs IF
2000,Halmstads BK
2001,Hammarby IF
2002,Djurgårdens IF
2003,Djurgårdens IF
2004,Malmö FF
2005,Djurgårdens IF
2006,IF Elfsborg
2007,IFK Göteborg
2008,Kalmar FF
2009,AIK
2010,Malmö FF
2011,Helsingborgs IF
2012,IF Elfsborg
2013,Malmö FF
2014,Malmö FF
2015,IFK Norrköping
2016,Malmö FF
2017,Malmö FF
2018,AIK
2019,Djurgårdens IF
2020,Malmö FF
